Comment,Predicted Class,Label
hi brad please make tutorial backend project use node expres mongodb,Neutral,5
brad be atlas cary dev world shoulder,Positive,1
be simple se brad 's video smash like buton,Positive,1
could please continue series ? thing like permision,Interrogative,4
also cmder window it ’ s wel git bash imo can use new window terminal basic config ,Neutral,5
much ned topic much ned video thx,Positive,1
know terminal can help become wel coder know pasthsurls stuf,Neutral,5
realy know how atract viewer thanks crash course,Positive,1
i 'm new cod what 's diference comand line linux comand ? ?,Interrogative,4
what be diference regural fre trial one,Interrogative,4
be comand run ubuntu terminal not ?,Interrogative,4
like use cmder console emulator be realy nice one,Neutral,5
ned crash course clas diagram also,Neutral,5
i 'm suport,Positive,1
can lok like hacker front people who never programed,Neutral,5
i 've use terminal wel year stil learn couple tip example cd use pushd popd lot but cd wil useful,Neutral,5
thanks tutorial learn lot new comand,Positive,1
thank super col video,Positive,1
what be diference regural fre trial one,Interrogative,4
like use cmder console emulator be realy nice one,Neutral,5
please make qwik j crash course fulcourse please,Neutral,5
title should bash video 's title be mislead,Negative,2
sed comand,Neutral,5
st,Neutral,5
talk be cheap show code,Negative,2
thank brad,Positive,1
want something like brad drop video thank brad team,Positive,1
fantastic tutorial easy folowno erorsa great introduction stripe thanks,Positive,1
be probably favorite youtube tutorial coper revisit harder concept clarification multiple time he 's col definitely earn sub,Positive,1
one thought be go mind know go grain react but could restructure mvc patern ?,Interrogative,4
thank much efort be stuck project couple day use 'usecontext ' 'cartcontext ' aproach realy help thanks,Positive,1
git config global coreautocrlf false,Neutral,5
finaly hear god beautiful english not arab 's acent,Positive,1
first today,Neutral,5
first,Neutral,5
why fbv,Interrogative,4
have one question suces cancel url server realize work localhost live deployment how would go set route,Interrogative,4
walter white be coking django,Neutral,5
stuf like be why suport patreon thanks much,Positive,1
nice course,Positive,1
perfect timing,Positive,1
great video find total cost product cart wel use arayreduce but overal god content,Corrective,3
time stop codersprogramers say be lazy chatgpt be come,Positive,1
lok forward learn stripe be thanks traversy medium,Positive,1
thnaks how deploy project ? ?,Interrogative,4
nice course django,Positive,1
want make post get suces url back stripe be way do that ?,Interrogative,4
go learn python,Neutral,5
god project thank coper code,Positive,1
many thanks video,Positive,1
fresher friendly project,Positive,1
hey guy i 'm trouble host code do have change code make work web host ?,Interrogative,4
how built website ? what be technology use ? which be best platform technology build tutorial website ?,Interrogative,4
anyone else not alert show log like can se alert django admin site but not webpage,Negative,2
col explanation,Positive,1
notice search field be mis,Negative,2
help buid crud ap multiple database defeat group clasthankyou much,Positive,1
what have lot product how can use stripe without create product stripe wil dificult upload product diferent platform website stripe,Interrogative,4
im new react run build shop folder how can build server along project upload ftp,Interrogative,4
hi guy have plan make complete tutorial java gui,Interrogative,4
dude fre code camp be insane,Positive,1
please make course nuendоcubase software be like fl studio but much profesionalfor producer thanks advance,Neutral,5
can use fc snipet simple react snipet extension fast code,Neutral,5
video be great way have codemy membership,Positive,1
thanks sir learn completely student much much thank,Positive,1
do anyone know how set fix quantity item control amount suply give item ? user might pay item suplier have stock,Interrogative,4
hey be posible learn scratch react tutorial please,Interrogative,4
chance do receive email enter email adres ? kind try but be fail,Interrogative,4
thanks bro,Positive,1
how do one receive payment production environment use stripe would procedure,Interrogative,4
yes coper code guy god stuf,Positive,1
can use busines use ?,Interrogative,4
april fol would hilarious brad put video title “ build shoping cart ” be literaly building aluminum shoping cart,Neutral,5
be deploy project like cartjsx serverjs page checkout function what url should give,Interrogative,4
hi update recod tag must update record instead ad record,Corrective,3
thanks god tutorial beginer but would like remind do not folow django 's best practice,Corrective,3
thank john elder help learn django love so much,Positive,1
realy realy awesome share nice vibe teach,Positive,1
do excelent video miror every step ubuntu vm run virtualbox laptop,Positive,1
work laravel would say be around similar also rail,Positive,1
excelent resource would recomend provide link formal documentation require deper sense understand concept comand etc,Positive,1
think gym be refer institution one can train muscle not gymnasium,Corrective,3
helo wish ad audio track arabic new feature ad youtube,Positive,1
nice wish could understand what be say,Positive,1
people ned milion subscriber,Positive,1
plz upload react native tutorial project,Neutral,5
can anyone tel how import ide be use code rl ?,Interrogative,4
constructive fedback notice lot typo code sugest run code instead jumping next section show eror help u understand wel also be bit hard understand,Corrective,3
thank milion,Positive,1
i 've melt today try lok gymnasium environment have go back gym ca n't believe come min ago,Negative,2
woah receive asignment dep qnetworks reinforcement learn which have submit wekend be,Positive,1
what ned right moment thanks,Positive,1
thank hard work,Positive,1
hatsof team you ’ re provide useful course fre cost,Positive,1
thanks milion tim i 've search two month tutorial exactly like do project son search be,Positive,1
consider pygame sdl wraper tutorial be useful programer who be use sdl game game aswel great tutorial,Positive,1
be great introduction python game,Positive,1
be amaze skim video dont have much time but realy want watch save later,Positive,1
thanks be fun but work lagy computer know why god computer,Neutral,5
i'am do finish course thank tim,Positive,1
guy be super have word apreciate youthnks video,Positive,1
reason whenever character touch ground kep bounce double check code one tim have ca n't find problem anyone have idea what could cause it ?,Interrogative,4
great,Positive,1
nice use lot tims tutorial learn python can recomend,Positive,1
tutorial be complicate advanced novice must proficient python also master usage pygame module which be suitable sped view proces,Negative,2
what do window pop run program,Interrogative,4
watch pygame tutorial can build game sdl literaly library,Positive,1
omg yay can ’ t wait try,Positive,1
tech tim god programer chanel be understable,Positive,1
tim be realy god teacher hat,Positive,1
have question can make game step code,Interrogative,4
cant run mean everything 's fine even runpng load but run run ?,Negative,2
wow col,Positive,1
never mindfound source code already,Neutral,5
man but what source code ?,Interrogative,4
can do replit ?,Interrogative,4
get modulenotfounderor no module name pygame i ’ m window,Negative,2
thanks team,Positive,1
thanks tim but be no source code post,Negative,2
can make game like android mobile phone release gogle store ?,Interrogative,4
lagy yes laptop be old even simple platformer game definitely pygame be not engine serious comercial game,Negative,2
phyton scratch,Positive,1
let 's god tim,Positive,1
why not super mario ?,Interrogative,4
what zero view like,Neutral,5
pygame work,Negative,2
tech tim,Neutral,5
idk be try torture something ? can easily do game unity game engine why make super mini game hundred line python,Negative,2
code not even work say pygame module not found but pygame be already instal also import math random o not even get highlight,Negative,2
get wathcing video,Positive,1
excelent courseyou can always spot experienced profesor moment explains notion maner be easy understand even child,Positive,1
thanks be something i 've think lately,Positive,1
finish one thanks shad i 've lok forward learn database,Positive,1
wow be time ned thank post,Positive,1
be source code available somewhere ?,Interrogative,4
finaly be what ned thanks,Positive,1
can use sql server instead mysql database ?,Interrogative,4
first view kep be thank ful guy god platform learn,Positive,1
be realy enjoy cod i 'l aply tutorial toi altium database program,Positive,1
exactly what curently work,Positive,1
holy crap ned thank,Positive,1
sir plz upload react native tutorial beginer advance project plz,Neutral,5
thanks god video,Positive,1
how implement video view ?,Interrogative,4
thank be wait video think project wil change life,Positive,1
please disable show video transcript default like video ca n't watch previous video react course john smilga without browser tab constantly crash,Negative,2
know man 's old schol se window xp walpaper background,Neutral,5
thanks much sir get new update,Positive,1
please tel how build gui program block exe aplication give pasword want open exe aplication should form which asks pasword open exe aplication ?,Interrogative,4
love chanel,Positive,1
be smart thanks tutorial,Positive,1
nope visual studio show video no idea what 's go,Negative,2
hi frecode camp can have pinescript toturial,Interrogative,4
where 's github ?,Interrogative,4
how deploy online ?,Interrogative,4
oh god drag mother exposition forgot teach u history internet video start,Negative,2
gamno,Neutral,5
banana guy hahah,Neutral,5
guy 's voice be not clear,Negative,2
yes go ahead,Positive,1
ey letsgo,Positive,1
react wil die son like silicon valey bank careful guy waste time learn something which be trash ned library frontend webdev but instead realy ned framework gues get what mean,Negative,2
be sucker,Interrogative,4
prerequisite,Neutral,5
bro uploaded hour vid like christmas something,Neutral,5
god time stamp please,Neutral,5
friend strugle understand english maybe english be third language,Negative,2
have take break curent job lok react developer job,Positive,1
voice never change bit,Positive,1
wish would have uploaded video earlier,Positive,1
can start react cours,Interrogative,4
timestamps be terible,Negative,2
why hr video,Interrogative,4
be video contain redux ruflex ?,Interrogative,4
damn john be back,Neutral,5
let 's go,Positive,1
do ned know j start course,Interrogative,4
best ever,Positive,1
thank john frecodecamp cant wait binge watch,Positive,1
what kind project be there ?,Interrogative,4
should watch video old video hour ? ? know nothing react,Interrogative,4
oh godnes,Neutral,5
lack typescript ´s shame,Negative,2
do not have react rout,Negative,2
no typescript ?,Interrogative,4
lok god,Positive,1
somebody know what be basic requirement learn react ? ? ? ?,Interrogative,4
why ca n't tumb video one time ? ? ? great content,Interrogative,4
helo sir can do colab course ?,Interrogative,4
be complete cource,Interrogative,4
one share j link study,Interrogative,4
next upload react native tutorial plz sir,Neutral,5
finaly john smilga god simply recepies,Neutral,5
timestamps,Negative,2
could 've use id,Corrective,3
straight learn react,Positive,1
can someone tel how navigate setingsjason file please,Interrogative,4
best,Positive,1
please be lok code course get data can folow training,Neutral,5
day,Neutral,5
hey hiwhy be react not recomeding use npm createreactap,Interrogative,4
instructor should answer question like guy who ask should watch one already watch previous one,Neutral,5
thank share,Positive,1
damn thanks finish javascript,Positive,1
mister smilga be create planing create react projectbased set tutorial herzliche grüsen,Interrogative,4
wait webaplication penetration test course,Neutral,5
helo mb im bit blind but ca n't find list suporte event new react can anyone send link new react doc be event please,Interrogative,4
be project course ?,Interrogative,4
course can compete udemy react course,Positive,1
wil get course which include hok router,Interrogative,4
be course enough absolute beginer,Interrogative,4
plz make tutorial react native redux tolkit api plz sir,Neutral,5
nice dude col tutorial,Positive,1
day complete,Neutral,5
have project react how can turn react be long tbh short way,Interrogative,4
start learn react redux put hr bomb,Neutral,5
have mis voice,Positive,1
think gpt much ned learn web development tol anymore,Neutral,5
thank john thank fc,Positive,1
do aply properly react self beginers due focus redux should do react course first ?,Interrogative,4
be even worth learn day se what ai can do ?,Interrogative,4
constructive fedback instructor show face teach make much engage watch tutorial,Positive,1
think react guide must write typescript,Neutral,5
whats diference take course instead bob zirol 's one scrimba ?,Interrogative,4
please ad timestamps,Neutral,5
say easy think basic view engine can get job do easily,Positive,1
legend do,Positive,1
be be true cra be replace createnextap can please make insight ty,Interrogative,4
lord bles fc ned found,Positive,1
encounter eror try use setcountcount be get eror why ? ?,Interrogative,4
do cover backroadsproject im curently have straight jumed module be module homework ?,Interrogative,4
john be best,Positive,1
thank god,Positive,1
found useref context api usecontext realy dificult understand can study more ? ?,Interrogative,4
apreciate,Positive,1
usefect run component mount but component mount ned usersnot empty aray which depends usefect,Interrogative,4
helo be no translation subtitle spanish hope wil place point thanks leave like,Positive,1
finish damn wel do thanks john,Positive,1
set number be problem aproach ?,Interrogative,4
i 'm consider learn react j should watch old react j version video first go video ?,Interrogative,4
great another refresher,Positive,1
do teach realworld dev workflow design patern test etc ?,Interrogative,4
please do make complete video backend node expres mongodb,Neutral,5
can provide readme be refer be have write everything one placebtw great tutorial,Interrogative,4
please make python data structure video beginer advanced like,Neutral,5
nice one john,Positive,1
guy be amaze stil frontend react section,Positive,1
john be mentor tutor without know,Positive,1
incredible thanks everything,Positive,1
usereducer section can pas data second argument usereducereducerdata ? ?,Interrogative,4
amaze nowadays be try learn react wil help lot but know take day complete but wil do,Positive,1
start work reactjs watch join teach reactjs best reactjs teacher ev,Positive,1
best react course thank,Positive,1
be reason why ca n't use bok id bok number instead create number index ?,Interrogative,4
john be best teacher mern stack he 's not apreciate enough sad,Positive,1
like way speaks straight forward clear acent ned lot efort understand what he 's try do thanks share amaze content,Positive,1
understand word,Negative,2
waste time,Negative,2
yet another python video explain thing python video frecodecamp something useful original guy continue fil youtube stuf od,Negative,2
sugest laptop,Neutral,5
rody rich teach program ?,Interrogative,4
hey mezie lay hardcutin ' mes i 'm short deuce blip but i 'l straighten later,Neutral,5
be bob marley teachin how code ?,Interrogative,4
wich compiler be use,Interrogative,4
check 'codable id ',Neutral,5
can know reason website be slow mobile phone fast desktop anyone ?,Interrogative,4
oluwatomi nice one bro,Positive,1
source function django isn ’ t work,Negative,2
col video thank also release video development,Positive,1
kid be cute be glad be give oportunity wel life skil,Positive,1
can get tutorial how make ap htmlcs javascript show how do backend side it ? know front end stuf right,Positive,1
useful video thanks heart,Positive,1
be quick revision realy god thank tomi frecodecamp,Positive,1
please make video computational geometry graph theory algorithm python,Neutral,5
create env variable flaskap andor flaskenv ad export statement execute statement,Corrective,3
tomi rockstar frebotcamp thank much wel,Positive,1
be exactly what i 'm lok quite day python database thank u frecodecamp,Positive,1
super smart kid bright future ahead guy,Positive,1
awesome be something want learn,Positive,1
tomi future be bright have folow month can say be smart youngster kep junior man,Positive,1
wow course sem simple eficient time thanks wil use start python,Positive,1
name convention python be snakecase except clas also fastapi would have modern easy pick framework,Corrective,3
great course knowledgable instructor always want learn python,Positive,1
hey upload microservices node j wel java spring,Neutral,5
bad course regret time spent watch,Negative,2
hue hue hue hue hue hue,Neutral,5
ey,Neutral,5
video,Neutral,5
be not ful course instructor spends lot time unuseful thing like instal software repeat not ful course instructor doesnot explain why use tol not one what 's logic behind big,Negative,2
final fantasy morpg,Neutral,5
bokmark,Neutral,5
morning,Neutral,5
make course blender,Neutral,5
god wil surely bles frecodecamp,Positive,1
can use back end unreal consumer peronal cloud bucket draw pul,Interrogative,4
frecodecamp drop bomb everyday,Positive,1
why be not use visual studio easy ad controler every thing plz reply,Interrogative,4
inflation be real problem potion which be unit money raise midle video,Negative,2
request source code form work,Negative,2
could double check ?,Interrogative,4
why dont segment video ?,Interrogative,4
wil ionic course come ?,Interrogative,4
how do authentication authorization microservice ?,Interrogative,4
paid course,Negative,2
someone would have code front video,Interrogative,4
vscode didnt get generate,Negative,2
thought time gon na hr video lol,Positive,1
should break multiple video,Neutral,5
do go way macbok wel ?,Interrogative,4
please please please make azure databricks use pyspark azure dp ful course,Neutral,5
electron j course please,Neutral,5
have start asp net core thanks everything,Positive,1
please make course nodejs microservices,Neutral,5
can make ful front end development course please,Interrogative,4
net microservices be god cod language,Positive,1
ful reactnative course plz,Neutral,5
god ca n't kep guy,Negative,2
thanks video help forget war come house litle time be best nowar,Positive,1
chanel be frigin amaze,Positive,1
what nice explaination worthful,Positive,1
gift kep give cher,Positive,1
amaze could do hour v code,Positive,1
best microservice tutorial internet right,Positive,1
excelente microservices course best,Positive,1
consumer ran worker service proces avoid scale thread dotnet proces ?,Interrogative,4
bles who share knowledge fre,Positive,1
can ad chapter title part easy learn step,Interrogative,4
beautiful course would have even excelent teacher use minimal api net,Positive,1
another great resource developer,Positive,1
excelent course explanation course structure be perfect cover breadth topic suficient detail,Positive,1
taco havers should not fraud,Neutral,5
want hack money,Neutral,5
alg,Neutral,5
guy do nothing except tel topic video steal inside playrom top kek,Negative,2
do,Neutral,5
leave alone reject interuption do not consent obstruction oportunity,Negative,2
stop show ad i 'm not watch hour long advertisement minute long video wheze lol,Negative,2
definitely not beginer,Negative,2
mern stack complex project want love bangladesh,Neutral,5
website taught u ca n't se visual studio code laptop,Negative,2
awesome thanks share,Positive,1
phenomenal stuf,Positive,1
thankyou actualy explain tnice tutorialngs video watch start talk how make soft ntion anytnice tutorialng,Positive,1
ned python devops automation course,Neutral,5
which case should chose casandra mongodb mongodb also suport time series now ?,Interrogative,4
great video always love smal side project great opertunity actualy finish something,Positive,1
simple briliant diligence never disapoints brad even notification turn always check daily have drop something,Positive,1
can ad download ' a ' html simply change href everytime qr code be generate way dont have wory multiple download buton also,Corrective,3
which v code theme be ? ? ? clear se,Interrogative,4
thank very much brad realy apreciate learn many thing kep make kind video often,Positive,1
create qr generator ap day back flask even ad many feature like customizable qrs like image background qr color qr etc,Neutral,5
hold smal pause enter enter emet tailwind can can se code instead go back forth notice lot tutorial not,Corrective,3
hi do know how make qr code but form html ?,Interrogative,4
hey realy like video thx,Positive,1
do know be way create customize qr code like qr code generator bitly do ? eg logo midle,Interrogative,4
have question why dont use formdata get value form input ?,Interrogative,4
hi brad be pakistan realy like video be inspiration learn lot,Positive,1
thanks brad mention what should do get profit project deploy it ? may can god topic next video,Neutral,5
interest know create qrcode be simple j,Positive,1
be reason use formdata object form handle inside submit event listener ?,Interrogative,4
be lok redo url shorter ad qrcode generator shorten url be til generate qr short url,Neutral,5
anybody want able input website without htp change input typetext html ad simple conditional statement setimeout,Neutral,5
can please make video progresive web aps thanks advance,Interrogative,4
consolelog inside py script take breath away obviously ability use py package browser be great but bidirectional link py j be fascinate thing inovation,Neutral,5
that 's wicked thanks smal review video,Positive,1
finaly video clarifies pyscript think begin but could big later,Positive,1
wow be incredible ability use python package browser that 's huge thanks put video together brad,Positive,1
ca n't wait se ful course pyscript be ready,Positive,1
hi team traversy i 've folow chanel find educationaland honestly tutorial be realy helpfuland tutor,Positive,1
wait explanation usual help learn lot single video prevous day thanks man,Positive,1
thanks bradhow excite plenty explore,Positive,1
simple project can have arduinoespraspbery pi python midle pyscript frontend create realy nice dashboard instance,Neutral,5
thanks bradhow excite plenty explore,Positive,1
great concise always,Positive,1
thank share knowledge comunityou earn subscriber,Positive,1
se huge oportunity run ai browser like tensor flow kera realy lok forward check one,Neutral,5
today decide switch bit python various reasonsthen come acros video how perfect timing,Positive,1
brad be great i 'm go have fun great video be best,Positive,1
nice web dev slytherin realy love idea ad python aplication,Positive,1
think can stil use parsemanipulate dom tre use beatufulsoup,Neutral,5
thats col bet can make python j interoperate use dom mesage service,Neutral,5
question be pyscript able import module long put seperate py file ?,Interrogative,4
could se use basic authentication new backend developer,Neutral,5
python developer be wild,Positive,1
thank always brad,Positive,1
can train model pickle distribute pickle web way ?,Interrogative,4
finaly god video pyscript thanks,Positive,1
i 'm no expert python but can use pip package,Interrogative,4
be great thanks post video,Positive,1
would love cal python library like backend node server,Neutral,5
vid be god educational thanks,Positive,1
thanks sir god work wil privilege met one one,Positive,1
realy hit frontend developer 's thought,Neutral,5
tutorial,Positive,1
helo mrbrad have question how can use pyscript tag localy ?,Interrogative,4
hat python indentation sensitivity not code block mark compresion mangle etc,Neutral,5
could do video use pyscript react ?,Interrogative,4
new intro be modern fire,Positive,1
interest video brad,Positive,1
could please tel why do python take much time load html page why be not faster javascript ?,Interrogative,4
bit confuse python print function output console imo,Negative,2
wonder could package use electron alternative tkinter faf simple gui aps,Neutral,5
ca n't replace j web language like ca n't replace python mlai language believe language have prove longetivity,Neutral,5
gota love web asembly thanks brad,Positive,1
project be god but wil take time fast reliant javascript,Neutral,5
be problem numpy modulenotfounderor no module name numpy even module be actualy instal,Negative,2
long way actualy useful but stil great step,Positive,1
htmx be also col revolutionary,Positive,1
start learn html cs javascript can make website traversy hold pyscript,Neutral,5
basicaly blazor alternative be create long time ago,Neutral,5
cant wait se browser get slow,Negative,2
great intro be big step forward imho,Positive,1
damn awesome content,Positive,1
